,listing_id,date,available,price
51103,14071446,2017-09-02,f,
51104,14071446,2017-09-01,f,
51465,14218904,2017-09-05,f,
51466,14218904,2017-09-04,f,
51467,14218904,2017-09-03,f,
51468,14218904,2017-09-02,f,
51469,14218904,2017-09-01,f,
51830,11826815,2017-09-05,f,
51831,11826815,2017-09-04,f,
51832,11826815,2017-09-03,f,
51833,11826815,2017-09-02,f,
51834,11826815,2017-09-01,f,
52195,13334098,2017-09-05,f,
52196,13334098,2017-09-04,f,
52197,13334098,2017-09-03,f,
52198,13334098,2017-09-02,f,
52199,13334098,2017-09-01,f,
52719,4765070,2017-09-05,t,$90.00
52720,4765070,2017-09-04,t,$90.00
52721,4765070,2017-09-03,t,$90.00
